current_yaw,target_angle,model_output
1.00000435,0.309302062,1
1.000004352,0.309302033,1
1.001653578,0.309298185,1
1.007549886,0.309283729,1
1.020544802,0.309266475,1
1.038238696,0.309271142,1
1.058805986,0.309312273,1
1.083989971,0.309376012,1
1.111003331,0.309485558,1
1.139812553,0.309598017,1
1.16469299,0.309703388,1
1.192130793,0.309851256,1
1.218062695,0.309975964,1
1.244331155,0.310112118,1
1.273735152,0.310284502,1
1.303805211,0.310463278,1
1.335744143,0.310643495,1
1.367025531,0.310827795,1
1.398443348,0.311014029,1
1.429970583,0.311199777,1
1.464963982,0.311380806,1
1.496659927,0.311563972,1
1.524176908,0.311748851,1
1.553851355,0.311891404,1
1.584409965,0.312065343,1
1.613298999,0.31220476,1
1.643911659,0.312368778,1
1.675821699,0.312525653,1
1.709878673,0.312700822,1
1.743099714,0.312841988,1
1.777184972,0.312975554,1
1.810001216,0.313101944,1
1.843250715,0.313240559,1
1.869683648,0.313330445,1
1.897398439,0.313415661,1
1.928526861,0.313508738,1
1.959230811,0.313579711,1
1.988230151,0.313655279,1
2.02106848,0.313722311,1
2.054333699,0.313780013,1
2.088451695,0.313832347,1
2.120436941,0.313867591,1
2.155406906,0.313895193,1
2.188670366,0.313911622,1
2.21638931,0.313912418,1
2.244107681,0.313909932,1
2.271825477,0.313899859,1
2.301674716,0.313874553,1
2.333655284,0.31384137,1
2.36648786,0.313799051,1
2.400598777,0.313748492,1
2.433856181,0.313686613,1
2.464554681,0.313610316,1
2.497810787,0.313528146,1
2.531918976,0.313411976,1
2.560484185,0.313326555,1
2.589475362,0.31320585,1
2.617187258,0.313106044,1
2.645751542,0.312998809,1
2.676873595,0.312856123,1
2.706716478,0.312700841,1
2.737411854,0.312579238,1
2.770665053,0.312371631,1
2.802639229,0.312193306,1
2.834613401,0.312006064,1
2.86658762,0.311810089,1
2.898561931,0.311605578,1
2.922862497,0.311472607,1
2.951852791,0.311246314,1
2.979564227,0.311063388,1
3.008128545,0.310873306,1
3.037972064,0.310628323,1
3.069947578,0.310381993,1
3.101923427,0.310128571,1
3.133899642,0.309868317,1
-3.117309059,0.309601499,-1
-3.08618476,0.309325815,-1
-3.052075475,0.309053172,-1
-3.022229393,0.308761827,-1
-2.997925859,0.308578085,-1
-2.968931817,0.308275175,-1
-2.94036372,0.308035262,-1
-2.911368844,0.30778815,-1
-2.881520727,0.307475394,-1
-2.850819314,0.3071612,-1
-2.819690998,0.306844582,-1
-2.787709332,0.306527206,-1
-2.75572713,0.306206743,-1
-2.725023703,0.305952984,-1
-2.691761112,0.305557901,-1
-2.666174103,0.305352788,-1
-2.638454449,0.305010761,-1
-2.612013816,0.30473774,-1
-2.584293418,0.304462054,-1
-2.554440243,0.304197801,-1
-2.52671904,0.303852406,-1
-2.495585568,0.303585378,-1
-2.464878143,0.303248689,-1
-2.432890784,0.302916132,-1
-2.403888526,0.302575832,-1
-2.373179874,0.302314329,-1
-2.341191311,0.301984633,-1
-2.315600188,0.301705524,-1
-2.288729268,0.30143681,-1
-2.261005029,0.301166413,-1
-2.233280589,0.30083325,-1
-2.203423236,0.300577829,-1
-2.1748453,0.300252823,-1
-2.142854843,0.299939914,-1
-2.111717283,0.299689975,-1
-2.081859206,0.299379279,-1
-2.052001005,0.299073304,-1
-2.019156917,0.298778725,-1
-1.988018948,0.298485588,-1
-1.963705719,0.298300286,-1
-1.936833234,0.298067202,-1
-1.910387311,0.297832768,-1
-1.88138215,0.297554922,-1
-1.853656734,0.297336789,-1
-1.823798695,0.297122297,-1
-1.796073509,0.296860526,-1
-1.765362726,0.29666151,-1
-1.734225625,0.296418232,-1
-1.686454137,0.296067304,-1
-1.654464716,0.295844587,-1
-1.625461282,0.295626785,-1
-1.599017246,0.295455862,-1
-1.572147001,0.295288124,-1
-1.54442405,0.295130072,-1
-1.517980929,0.294974144,-1
-1.488126217,0.294829471,-1
-1.460404351,0.294657339,-1
-1.429271055,0.294524338,-1
-1.399417709,0.294371012,-1
-1.369564846,0.294227668,-1
-1.339712471,0.29411786,-1
-1.307728377,0.293992833,-1
-1.27787709,0.293877748,-1
-1.252290705,0.293789117,-1
-1.226704718,0.293723229,-1
-1.198987029,0.293634497,-1
-1.171269773,0.293567957,-1
-1.14355301,0.293507547,-1
-1.114983888,0.29345447,-1
-1.085136088,0.293402146,-1
-1.054009637,0.293359828,-1
-1.023310113,0.29332852,-1
-0.993463841,0.293307052,-1
-0.962338965,0.293294801,-1
-0.93249367,0.293294599,-1
-0.906059623,0.293300706,-1
-0.879199576,0.293314277,-1
-0.8527662,0.293334868,-1
-0.825906767,0.29336312,-1
-0.796063314,0.293393248,-1
-0.767499156,0.293449923,-1
-0.737656339,0.293496704,-1
-0.70653484,0.29356863,-1
-0.676692569,0.293653111,-1
-0.644718955,0.293744132,-1
-0.614024493,0.293818849,-1
-0.582903896,0.293929383,-1
-0.556472828,0.294029302,-1
-0.529615523,0.294132579,-1
-0.503184587,0.29424601,-1
-0.47419589,0.294395276,-1
-0.444354584,0.294512629,-1
-0.415792178,0.294680058,-1
-0.384671919,0.294810942,-1
-0.354830511,0.294991967,-1
-0.32285745,0.295176541,-1
-0.292163178,0.295372843,-1
-0.26232135,0.295529823,-1
-0.230347771,0.295737665,-1
-0.203489777,0.295918345,-1
-0.175778926,0.29615218,-1
-0.14806788,0.296338076,-1
-0.12035657,0.296533213,-1
-0.090513344,0.296780879,-1
-0.059817104,0.296973568,-1
-0.02656243,0.297284414,-1
0.004134589,0.297487501,-1
0.036111091,0.297753735,-1
0.068088053,0.298025792,-1
0.099212751,0.298305961,-1
0.133322562,0.298648719,-1
0.158905287,0.298827752,-1
0.186620262,0.299132571,-1
0.212203683,0.299316623,-1
0.242051442,0.299622231,-1
0.271899672,0.299931811,-1
0.303880427,0.30023851,1
0.333729624,0.300484135,1
0.36656429,0.300794107,1
0.397693788,0.301112075,1
0.429676681,0.301429905,1
0.461660115,0.301749888,1
0.493644085,0.302071707,1
0.519231645,0.302347046,1
0.54908424,0.30267771,1
0.579790221,0.302933919,1
0.609643695,0.303265976,1
0.639497609,0.303598244,1
0.671484415,0.303924287,1
0.705604203,0.304243996,1
0.738871466,0.304565603,1
0.770859651,0.30488986,1
0.803701264,0.305210543,1
0.836969815,0.30559874,1
0.863414321,0.305862542,1
0.892418199,0.306123581,1
0.922275415,0.306443947,1
0.95298594,0.306691713,1
0.981990517,0.30700863,1
1.014834158,0.307312864,1
1.046824887,0.307615449,1
1.080095385,0.307911232,1
1.112939451,0.30820381,1
1.146210154,0.308552171,1
1.180333967,0.308831772,1
1.206779908,0.309062601,1
1.235785126,0.309289407,1
1.263510608,0.30956658,1
1.294221838,0.309777446,1
1.326212547,0.310036012,1
1.358203077,0.310288151,1
1.391473001,0.310581594,1
1.423463046,0.310818522,1
1.457585431,0.311045523,1
1.491707436,0.311265457,1
1.524549493,0.311518627,1
1.553552494,0.311689548,1
1.579996121,0.311854415,1
1.608998457,0.312014356,1
1.638853402,0.312200867,1
1.668707893,0.312378335,1
1.700694363,0.312545369,1
1.731400855,0.312674633,1
1.764665658,0.31285222,1
1.796650445,0.312991711,1
1.829487536,0.313121564,1
1.863603327,0.313241871,1
1.895586253,0.313352765,1
1.92458356,0.313453387,1
1.952301108,0.313529366,1
1.980871006,0.31359985,1
2.011998848,0.313673638,1
2.042699718,0.313736807,1
2.074679193,0.313790155,1
2.107937216,0.31383399,1
2.139915511,0.313866636,1
2.171893257,0.3138888,1
2.20685499,0.313899239,1
2.240963392,0.313900758,1
2.266544343,0.313890645,1
2.295535735,0.313877937,1
2.324100431,0.313844847,1
2.353091124,0.313815427,1
2.385065799,0.313767399,1
2.417040131,0.313708915,1
2.449866795,0.313641444,1
2.481840532,0.313562286,1
2.513814027,0.313472856,1
2.547066237,0.313375679,1
2.577760433,0.313263526,1
2.606749266,0.313137683,1
2.634459133,0.313033794,1
2.662168921,0.31292058,1
2.692010235,0.312769974,1
2.722704157,0.312651973,1
2.751692877,0.312481948,1
2.783665818,0.312309594,1
2.814359933,0.312124992,1
2.847612062,0.311937909,1
2.87830649,0.311735606,1
2.911559019,0.311531511,1
2.943532848,0.311315801,1
2.969964745,0.311127198,1
2.998954835,0.310944475,1
3.026666173,0.310748676,1
3.054377798,0.310493609,1
3.085074068,0.310299693,1
3.116197055,0.310041377,1
-3.135012157,0.309778795,-1
-3.102182899,0.309512301,-1
-3.07105862,0.30923448,-1
